0:   AA gagne 37.1%, partage 0.0%
1:   KK gagne 31.6%, partage 0.0%
2:   AQ-suited gagne 23.9%, partage 0.7%
3:   AK-suited gagne 22.1%, partage 1.3%
4:   QQ gagne 21.7%, partage 1.3%
5:   98-suited gagne 19.6%, partage 1.2%
6:   K8-suited gagne 19.4%, partage 0.0%
7:   KJ-suited gagne 18.8%, partage 1.9%
8:   KQ-suited gagne 17.9%, partage 1.8%
9:   AT-suited gagne 17.6%, partage 2.6%
10:   AJ-suited gagne 17.4%, partage 3.5%
11:   AK-offsuited gagne 16.6%, partage 1.8%
12:   AJ-offsuited gagne 16.4%, partage 1.4%
13:   77 gagne 15.9%, partage 0.5%
14:   A5-suited gagne 15.8%, partage 0.7%
15:   86-suited gagne 15.8%, partage 2.7%
16:   TT gagne 15.8%, partage 1.4%
17:   AQ-offsuited gagne 15.8%, partage 0.9%
18:   44 gagne 15.5%, partage 0.4%
19:   88 gagne 15.2%, partage 0.0%
20:   AT-offsuited gagne 15.2%, partage 4.2%
21:   K3-suited gagne 15.1%, partage 2.2%
22:   22 gagne 15.0%, partage 0.0%
23:   QJ-suited gagne 14.9%, partage 2.7%
24:   K9-suited gagne 14.7%, partage 3.3%
25:   JT-suited gagne 14.7%, partage 2.4%
26:   A7-suited gagne 14.6%, partage 1.2%
27:   J8-suited gagne 14.6%, partage 1.9%
28:   T9-suited gagne 14.6%, partage 2.4%
29:   T8-suited gagne 14.5%, partage 2.3%
30:   K6-suited gagne 14.4%, partage 2.3%
31:   97-suited gagne 14.3%, partage 1.2%
32:   JJ gagne 14.0%, partage 0.4%
33:   QT-suited gagne 13.9%, partage 2.4%
34:   Q9-suited gagne 13.5%, partage 2.7%
35:   65-suited gagne 13.3%, partage 2.8%
36:   A8-suited gagne 13.2%, partage 2.6%
37:   KT-suited gagne 13.2%, partage 3.1%
38:   KQ-offsuited gagne 13.1%, partage 0.7%
39:   A6-suited gagne 12.9%, partage 0.8%
40:   99 gagne 12.9%, partage 0.9%
41:   A9-offsuited gagne 12.9%, partage 1.8%
42:   A9-suited gagne 12.9%, partage 0.6%
43:   62-suited gagne 12.7%, partage 1.5%
44:   K7-suited gagne 12.5%, partage 3.9%
45:   J9-suited gagne 12.4%, partage 1.2%
46:   66 gagne 12.3%, partage 0.5%
47:   76-suited gagne 12.3%, partage 4.8%
48:   96-suited gagne 12.2%, partage 2.0%
49:   K5-suited gagne 12.1%, partage 2.7%
50:   T7-suited gagne 12.1%, partage 2.0%
51:   Q5-suited gagne 12.0%, partage 4.7%
52:   33 gagne 11.9%, partage 0.0%
53:   A3-suited gagne 11.7%, partage 0.6%
54:   K4-suited gagne 11.7%, partage 1.4%
55:   85-suited gagne 11.7%, partage 0.0%
56:   T4-suited gagne 11.5%, partage 1.3%
57:   Q9-offsuited gagne 11.5%, partage 2.7%
58:   Q3-suited gagne 11.3%, partage 2.7%
59:   94-suited gagne 11.3%, partage 2.0%
60:   55 gagne 11.3%, partage 0.0%
61:   J7-suited gagne 11.3%, partage 2.3%
62:   Q2-suited gagne 11.2%, partage 2.8%
63:   T3-suited gagne 11.1%, partage 3.5%
64:   JT-offsuited gagne 11.1%, partage 2.3%
65:   QJ-offsuited gagne 10.9%, partage 2.3%
66:   73-suited gagne 10.8%, partage 2.0%
