0:   AA gagne 31.8%, partage 0.0%
1:   QQ gagne 27.3%, partage 0.5%
2:   KK gagne 26.4%, partage 0.8%
3:   AJ-suited gagne 22.6%, partage 1.2%
4:   TT gagne 20.5%, partage 0.9%
5:   A9-suited gagne 19.1%, partage 2.0%
6:   KT-suited gagne 19.0%, partage 3.1%
7:   AK-suited gagne 18.2%, partage 1.2%
8:   Q9-suited gagne 18.1%, partage 2.1%
9:   JJ gagne 17.5%, partage 1.3%
10:   AQ-suited gagne 17.4%, partage 1.2%
11:   Q7-suited gagne 17.1%, partage 1.3%
12:   AK-offsuited gagne 16.5%, partage 1.1%
13:   A7-suited gagne 16.2%, partage 1.4%
14:   Q5-suited gagne 16.1%, partage 1.4%
15:   33 gagne 16.0%, partage 0.0%
16:   KQ-offsuited gagne 15.8%, partage 1.6%
17:   JT-suited gagne 15.7%, partage 0.0%
18:   KQ-suited gagne 15.5%, partage 2.7%
19:   99 gagne 15.4%, partage 1.4%
20:   AT-suited gagne 15.2%, partage 2.0%
21:   K2-suited gagne 15.0%, partage 1.9%
22:   Q8-suited gagne 14.9%, partage 1.4%
23:   76-suited gagne 14.8%, partage 0.7%
24:   A8-suited gagne 14.8%, partage 0.6%
25:   AQ-offsuited gagne 14.7%, partage 2.3%
26:   KJ-offsuited gagne 14.3%, partage 0.9%
27:   T7-suited gagne 13.8%, partage 2.6%
28:   66 gagne 13.7%, partage 0.4%
29:   A6-suited gagne 13.7%, partage 3.3%
30:   A2-suited gagne 13.5%, partage 2.3%
31:   AJ-offsuited gagne 13.4%, partage 2.2%
32:   77 gagne 13.3%, partage 0.5%
33:   KT-offsuited gagne 13.3%, partage 1.6%
34:   T5-suited gagne 13.2%, partage 0.7%
35:   A5-suited gagne 13.1%, partage 5.1%
36:   T9-suited gagne 13.1%, partage 2.1%
37:   55 gagne 13.0%, partage 1.3%
38:   J3-suited gagne 12.7%, partage 1.8%
39:   J5-suited gagne 12.7%, partage 2.7%
40:   86-suited gagne 12.7%, partage 0.7%
41:   QJ-offsuited gagne 12.7%, partage 2.2%
42:   53-suited gagne 12.5%, partage 1.3%
43:   A9-offsuited gagne 12.4%, partage 3.8%
44:   K9-suited gagne 12.0%, partage 2.5%
45:   Q3-suited gagne 11.9%, partage 6.3%
46:   J9-suited gagne 11.9%, partage 0.0%
47:   74-suited gagne 11.8%, partage 1.4%
48:   43-suited gagne 11.6%, partage 1.4%
49:   J6-suited gagne 11.6%, partage 1.3%
50:   A6-offsuited gagne 11.4%, partage 3.5%
51:   97-suited gagne 11.4%, partage 1.9%
52:   A4-suited gagne 11.3%, partage 3.1%
53:   54-suited gagne 11.2%, partage 1.2%
54:   87-suited gagne 11.2%, partage 3.6%
55:   QJ-suited gagne 11.2%, partage 0.0%
56:   KJ-suited gagne 11.2%, partage 1.3%
57:   QT-suited gagne 11.1%, partage 1.4%
58:   A5-offsuited gagne 10.8%, partage 3.3%
59:   T2-suited gagne 10.7%, partage 2.0%
60:   J4-suited gagne 10.7%, partage 3.6%
61:   44 gagne 10.6%, partage 0.9%
62:   K6-suited gagne 10.6%, partage 1.4%
