0:   AA gagne 31.8%, partage 0.4%
1:   KK gagne 28.2%, partage 0.3%
2:   QQ gagne 23.0%, partage 0.5%
3:   AK-suited gagne 22.0%, partage 1.5%
4:   AQ-suited gagne 21.0%, partage 1.7%
5:   JJ gagne 20.5%, partage 0.7%
6:   TT gagne 19.7%, partage 0.9%
7:   AJ-suited gagne 18.8%, partage 1.7%
8:   AT-suited gagne 18.0%, partage 0.9%
9:   AK-offsuited gagne 17.3%, partage 1.7%
10:   KJ-suited gagne 17.2%, partage 2.0%
11:   A9-suited gagne 16.8%, partage 1.5%
12:   KQ-suited gagne 16.8%, partage 2.0%
13:   99 gagne 16.5%, partage 1.2%
14:   AQ-offsuited gagne 15.6%, partage 1.4%
15:   QJ-suited gagne 15.2%, partage 1.6%
16:   A7-suited gagne 15.1%, partage 2.3%
17:   KT-suited gagne 15.0%, partage 2.8%
18:   88 gagne 14.6%, partage 0.4%
19:   77 gagne 14.5%, partage 0.8%
20:   A8-suited gagne 14.4%, partage 2.4%
21:   Q9-suited gagne 14.3%, partage 1.7%
22:   AJ-offsuited gagne 14.3%, partage 2.2%
23:   QT-suited gagne 14.1%, partage 2.5%
24:   44 gagne 13.8%, partage 0.1%
25:   JT-suited gagne 13.7%, partage 2.0%
26:   A3-suited gagne 13.5%, partage 2.6%
27:   J9-suited gagne 13.4%, partage 2.6%
28:   A5-suited gagne 13.3%, partage 2.4%
29:   22 gagne 13.2%, partage 0.1%
30:   A6-suited gagne 13.2%, partage 2.1%
31:   K4-suited gagne 13.1%, partage 2.0%
32:   KQ-offsuited gagne 13.1%, partage 1.6%
33:   55 gagne 12.8%, partage 0.5%
34:   K7-suited gagne 12.7%, partage 2.9%
35:   98-suited gagne 12.7%, partage 2.8%
36:   66 gagne 12.6%, partage 0.8%
37:   K8-suited gagne 12.6%, partage 1.6%
38:   K9-suited gagne 12.6%, partage 2.5%
39:   T9-suited gagne 12.5%, partage 2.3%
40:   33 gagne 12.4%, partage 0.2%
41:   QJ-offsuited gagne 12.4%, partage 1.7%
42:   KJ-offsuited gagne 12.4%, partage 1.7%
43:   A4-suited gagne 12.3%, partage 2.7%
44:   Q8-suited gagne 12.3%, partage 2.1%
45:   AT-offsuited gagne 12.3%, partage 2.0%
46:   K6-suited gagne 12.2%, partage 3.9%
47:   T8-suited gagne 12.0%, partage 2.3%
48:   J7-suited gagne 11.5%, partage 2.1%
49:   A9-offsuited gagne 11.3%, partage 2.1%
