0:   AA gagne 33.1%, partage 0.2%
1:   KK gagne 26.9%, partage 0.4%
2:   QQ gagne 23.8%, partage 0.5%
3:   AK-suited gagne 20.9%, partage 1.5%
4:   JJ gagne 19.9%, partage 0.6%
5:   AQ-suited gagne 19.3%, partage 1.5%
6:   TT gagne 17.7%, partage 0.8%
7:   KQ-suited gagne 17.7%, partage 1.5%
8:   AJ-suited gagne 17.3%, partage 1.7%
9:   AK-offsuited gagne 17.1%, partage 1.6%
10:   AT-suited gagne 16.3%, partage 1.8%
11:   99 gagne 16.2%, partage 0.9%
12:   KJ-suited gagne 16.0%, partage 1.9%
13:   A9-suited gagne 15.9%, partage 2.4%
14:   AQ-offsuited gagne 15.4%, partage 1.6%
15:   QJ-suited gagne 15.3%, partage 1.8%
16:   88 gagne 15.2%, partage 0.6%
17:   A8-suited gagne 14.9%, partage 2.0%
18:   K9-suited gagne 14.8%, partage 2.1%
19:   QT-suited gagne 14.7%, partage 2.1%
20:   KT-suited gagne 14.7%, partage 2.2%
21:   77 gagne 14.3%, partage 0.7%
22:   A7-suited gagne 14.3%, partage 2.3%
23:   JT-suited gagne 13.9%, partage 2.3%
24:   AJ-offsuited gagne 13.8%, partage 1.8%
25:   KQ-offsuited gagne 13.8%, partage 1.8%
26:   A4-suited gagne 13.6%, partage 2.6%
27:   J9-suited gagne 13.6%, partage 2.5%
28:   A2-suited gagne 13.5%, partage 2.6%
29:   Q9-suited gagne 13.5%, partage 2.3%
30:   A5-suited gagne 13.4%, partage 2.6%
31:   66 gagne 13.4%, partage 0.7%
32:   T9-suited gagne 13.4%, partage 2.6%
33:   55 gagne 13.3%, partage 0.6%
34:   44 gagne 13.0%, partage 0.3%
35:   A3-suited gagne 12.9%, partage 2.7%
36:   A6-suited gagne 12.8%, partage 2.6%
37:   KJ-offsuited gagne 12.6%, partage 1.9%
38:   33 gagne 12.5%, partage 0.3%
39:   AT-offsuited gagne 12.5%, partage 2.0%
40:   K7-suited gagne 12.4%, partage 2.6%
41:   K8-suited gagne 12.4%, partage 2.5%
42:   22 gagne 12.3%, partage 0.1%
43:   Q8-suited gagne 12.3%, partage 2.1%
44:   98-suited gagne 12.1%, partage 2.5%
45:   J8-suited gagne 12.1%, partage 2.0%
46:   K4-suited gagne 11.8%, partage 2.2%
47:   T8-suited gagne 11.8%, partage 2.4%
48:   QJ-offsuited gagne 11.8%, partage 1.9%
49:   87-suited gagne 11.6%, partage 2.2%
50:   K5-suited gagne 11.5%, partage 2.7%
51:   A9-offsuited gagne 11.5%, partage 2.0%
52:   K6-suited gagne 11.4%, partage 2.8%
53:   KT-offsuited gagne 11.4%, partage 2.1%
54:   K3-suited gagne 11.3%, partage 2.1%
55:   T7-suited gagne 11.2%, partage 2.3%
56:   Q7-suited gagne 11.1%, partage 2.4%
57:   QT-offsuited gagne 11.1%, partage 2.2%
58:   K2-suited gagne 11.0%, partage 1.9%
