0:   AA gagne 32.3%, partage 0.0%
1:   KK gagne 26.8%, partage 1.4%
2:   A9-suited gagne 22.7%, partage 2.6%
3:   AK-suited gagne 21.1%, partage 3.1%
4:   QQ gagne 19.9%, partage 0.0%
5:   KQ-suited gagne 19.5%, partage 4.5%
6:   TT gagne 18.7%, partage 1.3%
7:   33 gagne 18.1%, partage 0.0%
8:   K5-suited gagne 17.4%, partage 2.3%
9:   AQ-suited gagne 17.3%, partage 1.2%
10:   Q8-suited gagne 17.1%, partage 1.3%
11:   A6-suited gagne 16.4%, partage 2.4%
12:   AK-offsuited gagne 16.4%, partage 1.5%
13:   Q6-suited gagne 16.3%, partage 2.8%
14:   JJ gagne 16.3%, partage 0.4%
15:   QJ-suited gagne 16.1%, partage 2.2%
16:   K6-suited gagne 15.9%, partage 3.0%
17:   55 gagne 15.7%, partage 0.0%
18:   A7-suited gagne 15.5%, partage 1.3%
19:   JT-suited gagne 15.4%, partage 3.0%
20:   32-suited gagne 15.1%, partage 1.3%
21:   T8-suited gagne 14.8%, partage 0.7%
22:   88 gagne 14.5%, partage 0.0%
23:   AJ-offsuited gagne 14.5%, partage 1.7%
24:   KQ-offsuited gagne 14.5%, partage 2.2%
25:   AQ-offsuited gagne 14.5%, partage 2.1%
26:   KJ-suited gagne 14.4%, partage 2.2%
27:   J2-suited gagne 14.3%, partage 3.2%
28:   77 gagne 14.1%, partage 0.9%
29:   86-suited gagne 13.9%, partage 2.1%
30:   J9-suited gagne 13.8%, partage 2.4%
31:   AT-suited gagne 13.8%, partage 3.8%
32:   AJ-suited gagne 13.8%, partage 2.8%
33:   J6-suited gagne 13.7%, partage 1.2%
34:   QT-suited gagne 13.7%, partage 4.6%
35:   KT-suited gagne 13.5%, partage 2.7%
36:   Q3-suited gagne 13.4%, partage 1.2%
37:   KJ-offsuited gagne 13.4%, partage 2.6%
38:   Q7-suited gagne 13.3%, partage 1.9%
39:   AT-offsuited gagne 13.0%, partage 2.8%
40:   22 gagne 12.9%, partage 0.8%
41:   Q5-suited gagne 12.8%, partage 2.0%
42:   K8-suited gagne 12.8%, partage 4.0%
43:   A8-suited gagne 12.8%, partage 1.3%
44:   K9-suited gagne 12.8%, partage 2.8%
45:   A9-offsuited gagne 12.8%, partage 1.8%
