0:   AA gagne 34.2%, partage 0.0%
1:   KK gagne 26.2%, partage 0.3%
2:   QQ gagne 22.5%, partage 0.5%
3:   AK-suited gagne 20.4%, partage 2.4%
4:   JJ gagne 19.5%, partage 0.4%
5:   KQ-suited gagne 18.1%, partage 1.0%
6:   AQ-suited gagne 18.0%, partage 1.2%
7:   AK-offsuited gagne 17.4%, partage 2.1%
8:   A9-suited gagne 16.9%, partage 2.1%
9:   AJ-suited gagne 16.5%, partage 1.9%
10:   AT-suited gagne 16.3%, partage 2.5%
11:   99 gagne 15.9%, partage 0.9%
12:   KJ-suited gagne 15.9%, partage 2.1%
13:   TT gagne 15.7%, partage 0.9%
14:   KT-suited gagne 15.6%, partage 2.4%
15:   QJ-suited gagne 15.4%, partage 1.8%
16:   K9-suited gagne 15.3%, partage 2.8%
17:   T9-suited gagne 15.1%, partage 2.4%
18:   AQ-offsuited gagne 15.0%, partage 1.5%
19:   A8-suited gagne 14.9%, partage 1.7%
20:   77 gagne 14.8%, partage 0.4%
21:   A7-suited gagne 14.5%, partage 1.9%
22:   Q9-suited gagne 14.4%, partage 2.0%
23:   88 gagne 14.2%, partage 1.0%
24:   66 gagne 14.1%, partage 0.7%
25:   A6-suited gagne 14.0%, partage 2.2%
26:   JT-suited gagne 14.0%, partage 1.8%
27:   AJ-offsuited gagne 13.8%, partage 1.9%
28:   55 gagne 13.7%, partage 0.5%
29:   22 gagne 13.6%, partage 0.0%
30:   A3-suited gagne 13.5%, partage 2.4%
31:   QT-suited gagne 13.5%, partage 2.1%
32:   K7-suited gagne 13.4%, partage 2.4%
33:   K3-suited gagne 13.3%, partage 2.3%
34:   K5-suited gagne 13.2%, partage 2.5%
35:   T8-suited gagne 13.1%, partage 2.1%
36:   J9-suited gagne 13.0%, partage 2.3%
37:   Q8-suited gagne 12.9%, partage 2.4%
38:   KJ-offsuited gagne 12.8%, partage 2.0%
39:   44 gagne 12.6%, partage 0.1%
40:   AT-offsuited gagne 12.5%, partage 1.9%
41:   A5-suited gagne 12.4%, partage 2.4%
42:   A4-suited gagne 12.3%, partage 2.5%
43:   K8-suited gagne 12.3%, partage 2.7%
44:   KQ-offsuited gagne 12.3%, partage 1.3%
45:   98-suited gagne 12.2%, partage 2.4%
46:   Q6-suited gagne 12.1%, partage 1.7%
47:   KT-offsuited gagne 12.1%, partage 2.4%
48:   A2-suited gagne 11.9%, partage 2.3%
49:   T7-suited gagne 11.9%, partage 2.1%
50:   T6-suited gagne 11.7%, partage 2.1%
51:   K4-suited gagne 11.6%, partage 2.4%
52:   K6-suited gagne 11.6%, partage 3.0%
53:   33 gagne 11.5%, partage 0.3%
54:   65-suited gagne 11.5%, partage 1.7%
55:   86-suited gagne 11.4%, partage 2.9%
56:   87-suited gagne 11.4%, partage 2.0%
57:   J8-suited gagne 11.4%, partage 2.1%
58:   QJ-offsuited gagne 11.3%, partage 1.9%
59:   Q2-suited gagne 11.1%, partage 1.6%
60:   64-suited gagne 11.1%, partage 1.7%
61:   Q4-suited gagne 11.0%, partage 2.7%
62:   76-suited gagne 10.9%, partage 1.6%
63:   A8-offsuited gagne 10.9%, partage 2.0%
64:   A9-offsuited gagne 10.9%, partage 2.3%
65:   QT-offsuited gagne 10.8%, partage 1.9%
