127:   T7-offsuited gagne 7.0%, partage 2.4%
128:   J7-offsuited gagne 7.0%, partage 2.4%
129:   Q7-offsuited gagne 7.0%, partage 2.3%
130:   K2-offsuited gagne 6.9%, partage 2.1%
131:   86-offsuited gagne 6.9%, partage 2.2%
132:   Q6-offsuited gagne 6.7%, partage 2.5%
133:   Q5-offsuited gagne 6.5%, partage 2.2%
134:   64-offsuited gagne 6.4%, partage 2.1%
135:   96-offsuited gagne 6.4%, partage 2.5%
136:   75-offsuited gagne 6.3%, partage 2.0%
137:   T6-offsuited gagne 6.3%, partage 2.3%
138:   Q2-offsuited gagne 6.2%, partage 1.9%
139:   Q4-offsuited gagne 6.2%, partage 2.2%
140:   Q3-offsuited gagne 6.1%, partage 2.0%
141:   54-offsuited gagne 6.1%, partage 1.8%
142:   85-offsuited gagne 6.0%, partage 1.9%
143:   63-offsuited gagne 5.9%, partage 1.7%
144:   J4-offsuited gagne 5.9%, partage 2.1%
145:   J6-offsuited gagne 5.9%, partage 2.6%
146:   74-offsuited gagne 5.8%, partage 1.8%
147:   J2-offsuited gagne 5.6%, partage 1.9%
148:   95-offsuited gagne 5.6%, partage 2.4%
149:   T5-offsuited gagne 5.5%, partage 2.4%
150:   J5-offsuited gagne 5.5%, partage 2.4%
151:   53-offsuited gagne 5.4%, partage 1.6%
152:   J3-offsuited gagne 5.4%, partage 2.0%
153:   84-offsuited gagne 5.3%, partage 1.8%
154:   T4-offsuited gagne 5.3%, partage 2.2%
155:   43-offsuited gagne 5.2%, partage 1.3%
156:   62-offsuited gagne 5.0%, partage 1.6%
157:   T2-offsuited gagne 5.0%, partage 1.8%
158:   94-offsuited gagne 5.0%, partage 2.3%
159:   73-offsuited gagne 4.9%, partage 1.6%
160:   T3-offsuited gagne 4.9%, partage 2.1%
161:   52-offsuited gagne 4.8%, partage 1.4%
162:   92-offsuited gagne 4.8%, partage 2.1%
163:   93-offsuited gagne 4.7%, partage 2.1%
164:   42-offsuited gagne 4.5%, partage 1.3%
165:   83-offsuited gagne 4.4%, partage 1.8%
166:   32-offsuited gagne 4.2%, partage 1.1%
167:   72-offsuited gagne 4.2%, partage 1.6%
168:   82-offsuited gagne 4.2%, partage 1.6%
