124:   82-suited gagne 36.4%, partage 9.1%
125:   75-offsuited gagne 36.4%, partage 9.1%
126:   65-offsuited gagne 36.1%, partage 19.4%
127:   73-offsuited gagne 35.8%, partage 0.0%
128:   74-offsuited gagne 35.7%, partage 7.1%
129:   75-suited gagne 35.7%, partage 14.3%
130:   97-suited gagne 35.7%, partage 0.0%
131:   J2-offsuited gagne 35.5%, partage 3.2%
132:   Q3-suited gagne 35.3%, partage 5.9%
133:   62-offsuited gagne 34.9%, partage 2.3%
134:   93-offsuited gagne 34.4%, partage 0.0%
135:   32-offsuited gagne 34.3%, partage 8.6%
136:   T3-offsuited gagne 34.3%, partage 14.3%
137:   32-suited gagne 33.3%, partage 0.0%
138:   53-suited gagne 33.3%, partage 0.0%
139:   54-suited gagne 33.3%, partage 0.0%
140:   J4-offsuited gagne 33.3%, partage 6.7%
141:   T4-offsuited gagne 31.6%, partage 10.5%
142:   52-offsuited gagne 31.4%, partage 2.9%
143:   63-suited gagne 31.3%, partage 6.3%
144:   42-offsuited gagne 30.8%, partage 7.7%
145:   AT-suited gagne 30.8%, partage 0.0%
146:   73-suited gagne 30.0%, partage 0.0%
147:   K4-suited gagne 30.0%, partage 10.0%
148:   J7-suited gagne 30.0%, partage 10.0%
149:   98-suited gagne 30.0%, partage 20.0%
150:   85-offsuited gagne 29.0%, partage 19.4%
151:   63-offsuited gagne 28.6%, partage 0.0%
152:   54-offsuited gagne 28.6%, partage 8.6%
153:   64-suited gagne 28.6%, partage 14.3%
154:   85-suited gagne 27.8%, partage 11.1%
155:   42-suited gagne 27.3%, partage 9.1%
156:   92-suited gagne 27.3%, partage 18.2%
157:   T5-suited gagne 27.3%, partage 18.2%
158:   92-offsuited gagne 26.7%, partage 3.3%
159:   74-suited gagne 26.7%, partage 6.7%
160:   53-offsuited gagne 25.7%, partage 0.0%
161:   82-offsuited gagne 25.6%, partage 5.1%
162:   84-suited gagne 25.0%, partage 12.5%
163:   T9-suited gagne 25.0%, partage 0.0%
164:   93-suited gagne 21.4%, partage 0.0%
165:   94-suited gagne 18.2%, partage 0.0%
166:   A6-suited gagne 18.2%, partage 0.0%
167:   T2-suited gagne 15.4%, partage 15.4%
168:   T4-suited gagne 14.3%, partage 0.0%
