0:   AA gagne 40.3%, partage 0.0%
1:   KK gagne 27.2%, partage 0.0%
2:   QQ gagne 23.1%, partage 0.0%
3:   TT gagne 20.9%, partage 0.5%
4:   KJ-suited gagne 20.9%, partage 1.2%
5:   AQ-suited gagne 20.3%, partage 0.6%
6:   AK-suited gagne 19.9%, partage 1.9%
7:   AK-offsuited gagne 18.4%, partage 1.8%
8:   Q7-suited gagne 18.2%, partage 4.9%
9:   A9-suited gagne 18.2%, partage 0.0%
10:   JJ gagne 17.9%, partage 0.0%
11:   QJ-suited gagne 16.7%, partage 1.9%
12:   99 gagne 16.0%, partage 0.8%
13:   K9-suited gagne 15.9%, partage 2.5%
14:   J9-suited gagne 15.8%, partage 3.3%
15:   KQ-suited gagne 15.6%, partage 2.8%
16:   55 gagne 15.5%, partage 0.4%
17:   AJ-offsuited gagne 15.5%, partage 1.8%
18:   66 gagne 15.4%, partage 0.8%
19:   A6-suited gagne 15.3%, partage 2.1%
20:   A7-suited gagne 15.1%, partage 1.7%
21:   A5-suited gagne 14.8%, partage 3.7%
22:   AJ-suited gagne 14.8%, partage 1.3%
23:   44 gagne 14.7%, partage 0.0%
24:   T9-suited gagne 14.6%, partage 2.0%
25:   AQ-offsuited gagne 14.5%, partage 1.6%
26:   96-suited gagne 14.4%, partage 1.4%
27:   Q8-suited gagne 14.3%, partage 2.7%
28:   33 gagne 14.0%, partage 0.5%
29:   K8-suited gagne 13.6%, partage 3.8%
30:   K5-suited gagne 13.5%, partage 0.8%
31:   KQ-offsuited gagne 13.4%, partage 1.3%
32:   Q3-suited gagne 13.3%, partage 1.5%
33:   QT-suited gagne 13.3%, partage 1.8%
34:   K2-suited gagne 13.2%, partage 0.8%
35:   AT-suited gagne 13.2%, partage 2.6%
36:   T6-suited gagne 13.1%, partage 2.2%
37:   Q6-suited gagne 13.1%, partage 4.6%
38:   88 gagne 13.1%, partage 0.5%
39:   KT-suited gagne 13.1%, partage 2.0%
40:   J2-suited gagne 12.7%, partage 1.4%
41:   A4-suited gagne 12.7%, partage 2.4%
42:   A3-suited gagne 12.6%, partage 1.7%
43:   77 gagne 12.6%, partage 1.4%
44:   T8-suited gagne 12.6%, partage 2.9%
45:   A8-suited gagne 12.6%, partage 1.4%
