125:   A6-offsuited gagne 6.3%, partage 3.8%
126:   32-suited gagne 6.1%, partage 0.0%
127:   42-suited gagne 6.1%, partage 6.1%
128:   52-offsuited gagne 6.0%, partage 2.4%
129:   J9-offsuited gagne 6.0%, partage 4.8%
130:   52-suited gagne 5.7%, partage 0.0%
131:   96-offsuited gagne 5.4%, partage 1.1%
132:   92-suited gagne 5.3%, partage 0.0%
133:   74-offsuited gagne 5.3%, partage 1.1%
134:   75-offsuited gagne 5.2%, partage 3.9%
135:   64-offsuited gagne 5.1%, partage 1.3%
136:   Q2-offsuited gagne 5.0%, partage 5.0%
137:   53-suited gagne 5.0%, partage 10.0%
138:   85-offsuited gagne 5.0%, partage 2.5%
139:   K6-suited gagne 5.0%, partage 0.0%
140:   53-offsuited gagne 4.9%, partage 0.0%
141:   J4-offsuited gagne 4.9%, partage 0.0%
142:   J4-suited gagne 4.8%, partage 19.0%
143:   62-offsuited gagne 4.7%, partage 1.2%
144:   84-offsuited gagne 4.7%, partage 1.2%
145:   63-offsuited gagne 4.6%, partage 0.0%
146:   J8-suited gagne 4.5%, partage 0.0%
147:   73-offsuited gagne 4.2%, partage 1.1%
148:   73-suited gagne 4.2%, partage 0.0%
149:   K3-suited gagne 4.2%, partage 4.2%
150:   Q3-suited gagne 4.0%, partage 0.0%
151:   42-offsuited gagne 3.9%, partage 1.3%
152:   K4-offsuited gagne 3.9%, partage 9.1%
153:   T4-offsuited gagne 3.8%, partage 2.5%
154:   95-suited gagne 3.8%, partage 3.8%
155:   J5-suited gagne 3.8%, partage 0.0%
156:   T5-offsuited gagne 3.6%, partage 1.2%
157:   72-offsuited gagne 3.5%, partage 2.4%
158:   92-offsuited gagne 3.4%, partage 3.4%
159:   K2-suited gagne 3.4%, partage 3.4%
160:   A8-suited gagne 3.4%, partage 0.0%
161:   K8-offsuited gagne 3.2%, partage 4.2%
162:   87-offsuited gagne 2.9%, partage 7.4%
163:   J3-offsuited gagne 2.6%, partage 1.3%
164:   43-offsuited gagne 2.5%, partage 2.5%
165:   A4-offsuited gagne 2.5%, partage 5.0%
166:   83-offsuited gagne 1.4%, partage 1.4%
167:   T3-offsuited gagne 1.2%, partage 2.4%
168:   65-suited gagne 0.0%, partage 3.3%
